geoid,state,district,number,number_moe,state_number,state_number_moe,country_number,country_number_moe,ratio_state_number,ratio_state_number_moe,ratio_country_number,ratio_country_number_moe,percentage,percentage_moe,state_percentage,state_percentage_moe,country_percentage,country_percentage_moe,ratio_state_percentage,ratio_state_percentage_moe,ratio_country_percentage,ratio_country_percentage_moe
50000US5503,Wisconsin,3,49224.0,2294.0,336559.0,5863.0,18496937.0,66959.0,0.14625667416411386,0.01873347354292099,0.0026611973647312527,0.0002673116647838543,8.64,0.4,7.49,0.13,7.44,0.03,1.1535380507343125,0.14689604016889196,1.1612903225806452,0.11689402684963877
50000US0649,California,49,46441.0,3715.0,1624519.0,22622.0,18496937.0,66959.0,0.028587538834571956,0.005370886114577258,0.002510740021442469,0.00041987141198676983,8.62,0.68,5.41,0.08,7.44,0.03,1.5933456561922363,0.29857458725911346,1.1586021505376343,0.1921423887181655
50000US3103,Nebraska,3,39535.0,2094.0,120533.0,4196.0,18496937.0,66959.0,0.32800146018102927,0.05765234092022365,0.0021373809079849276,0.00024189369350758978,8.6,0.45,8.44,0.29,7.44,0.03,1.018957345971564,0.17686701944497152,1.1559139784946235,0.13029174728604023
50000US4003,Oklahoma,3,50377.0,2857.0,275808.0,6177.0,18496937.0,66959.0,0.18265242487527555,0.02891318566642426,0.0027235320096511114,0.00032863871564414986,8.58,0.48,9.36,0.21,7.44,0.03,0.9166666666666667,0.14376895010021074,1.1532258064516128,0.13833471537973757
50000US3913,Ohio,13,48633.0,2845.0,729520.0,11510.0,18496937.0,66959.0,0.06666438205943634,0.00990570915376023,0.0026292461286968757,0.00032665854689607597,8.54,0.49,8.11,0.13,7.44,0.03,1.0530209617755857,0.15463719979560553,1.1478494623655913,0.14097957281216633
50000US4706,Tennessee,6,50068.0,3336.0,427976.0,10190.0,18496937.0,66959.0,0.11698786847860627,0.02117256499233342,0.0027068265410646096,0.00038031080394468466,8.53,0.57,8.35,0.2,7.44,0.03,1.0215568862275448,0.18557026513113048,1.1465053763440858,0.16247445924047063
50000US3908,Ohio,8,47368.0,2889.0,729520.0,11510.0,18496937.0,66959.0,0.0649303651716197,0.009971635932298575,0.002560856427201974,0.00033092100511499873,8.52,0.52,8.11,0.13,7.44,0.03,1.0505548705302097,0.1619582937927343,1.1451612903225805,0.14902254090586367
50000US2607,Michigan,7,46467.0,2143.0,559155.0,8325.0,18496937.0,66959.0,0.08310218096949862,0.01014192553963826,0.002512145659575961,0.0002499052733678457,8.51,0.39,7.23,0.11,7.44,0.03,1.177040110650069,0.1437329700272479,1.1438172043010753,0.11406489656331127
50000US1000,Delaware,0,63316.0,3921.0,63316.0,3921.0,18496937.0,66959.0,1.0,0.24866352719852652,0.0034230532330839425,0.0004487509048904719,8.5,0.53,8.5,0.53,7.44,0.03,1.0,0.25038523477436847,1.1424731182795698,0.15168907749757465
50000US4823,Texas,23,46992.0,3254.0,1460627.0,20030.0,18496937.0,66959.0,0.032172484830144864,0.005339005951125478,0.0025405287372714737,0.00037024034145206257,8.49,0.55,7.13,0.1,7.44,0.03,1.1907433380084151,0.187715560067602,1.1411290322580645,0.15705466941991988
