year,state,dem,rep
2012,MD,63.3,36.7
2012,ME,57.9,42.1
2012,MI,54.8,45.2
2012,MN,53.9,46.1
2012,MO,45.2,54.8
2012,MS,44.2,55.8
2012,MT,43.0,57.0
2012,NC,49.0,51.0
2012,ND,39.9,60.1
2012,NE,38.9,61.1
2012,NH,52.8,47.2
2012,NJ,59.0,41.0
2012,NM,55.3,44.7
2012,NV,53.4,46.6
2012,NY,64.3,35.7
2012,OH,51.5,48.5
2012,OK,33.2,66.8
2012,OR,56.3,43.7
2012,PA,52.7,47.3
2012,RI,64.0,36.0
2012,SC,44.7,55.3
2012,SD,40.8,59.2
2012,TN,39.6,60.4
2012,TX,42.0,58.0
2012,US,52.0,48.0
2012,UT,25.4,74.6
2012,VA,52.0,48.0
2012,VT,68.2,31.8
2012,WA,57.6,42.4
2012,WI,53.5,46.5
2012,WV,36.3,63.7
2012,WY,28.8,71.2
2008,AK,38.9,61.1
2008,AL,39.1,60.9
2008,AR,39.8,60.2
2008,AZ,45.7,54.3
2008,CA,62.3,37.7
2008,CO,54.6,45.4
2008,CT,61.3,38.7
2008,DC,93.4,6.6
2008,DE,62.6,37.4
2008,FL,51.4,48.6
2008,GA,47.4,52.6
2008,HI,73.0,27.0
2008,IA,54.8,45.2
2008,ID,37.0,63.0
2008,IL,62.7,37.3
2008,IN,50.5,49.5
2008,KS,42.4,57.6
2008,KY,41.8,58.2
2008,LA,40.5,59.5
2008,MA,63.2,36.8
2008,MD,62.9,37.1
2008,ME,58.8,41.2
2008,MI,58.4,41.6
2008,MN,55.2,44.8
2008,MO,49.9,50.1
2008,MS,43.4,56.6
2008,MT,48.8,51.2
2008,NC,50.2,49.8
2008,ND,45.6,54.4
2008,NE,42.4,57.6
2008,NH,54.9,45.1
2008,NJ,57.9,42.1
2008,NM,57.7,42.3
2008,NV,56.4,43.6
2008,NY,63.6,36.4
2008,OH,52.3,47.7
2008,OK,34.4,65.6
2008,OR,58.4,41.6
2008,PA,55.2,44.8
2008,RI,64.2,35.8
2008,SC,45.5,54.5
2008,SD,45.7,54.3
2008,TN,42.4,57.6
2008,TX,44.1,55.9
2008,US,53.7,46.3
2008,UT,35.5,64.5
2008,VA,53.2,46.8
2008,VT,68.9,31.1
2008,WA,58.8,41.2
2008,WI,57.1,42.9
2008,WV,43.3,56.7
2008,WY,33.4,66.6
2004,AK,36.8,63.2
2004,AL,37.1,62.9
2004,AR,45.1,54.9
2004,AZ,44.7,55.3
2004,CA,55.0,45.0
2004,CO,47.6,52.4
2004,CT,55.3,44.7
2004,DC,90.5,9.5
2004,DE,53.8,46.2
2004,FL,47.5,52.5
2004,GA,41.6,58.4
2004,HI,54.4,45.6
2004,IA,49.7,50.3
2004,ID,30.7,69.3
2004,IL,55.2,44.8
2004,IN,39.6,60.4
2004,KS,37.1,62.9
2004,KY,40.0,60.0
2004,LA,42.7,57.3
2004,MA,62.7,37.3
2004,MD,56.6,43.4
2004,ME,54.6,45.4
2004,MI,51.7,48.3
2004,MN,51.8,48.2
2004,MO,46.4,53.6
2004,MS,40.1,59.9
2004,MT,39.5,60.5
2004,NC,43.8,56.2
2004,ND,36.1,63.9
2004,NE,33.2,66.8
2004,NH,50.7,49.3
2004,NJ,53.4,46.6
2004,NM,49.6,50.4
2004,NV,48.7,51.3
2004,NY,59.3,40.7
2004,OH,48.9,51.1
2004,OK,34.4,65.6
2004,OR,52.1,47.9
2004,PA,51.3,48.7
2004,RI,60.6,39.4
2004,SC,41.4,58.6
2004,SD,39.1,60.9
2004,TN,42.8,57.2
2004,TX,38.5,61.5
2004,US,48.8,51.2
2004,UT,26.7,73.3
2004,VA,45.9,54.1
2004,VT,60.3,39.7
2004,WA,53.6,46.4
2004,WI,50.2,49.8
2004,WV,43.5,56.5
2004,WY,29.7,70.3
2000,AK,32.1,67.9
2000,AL,42.4,57.6
2000,AR,47.2,52.8
2000,AZ,46.7,53.3
2000,CA,56.2,43.8
2000,CO,45.5,54.5
2000,CT,59.3,40.7
2000,DC,90.5,9.5
2000,DE,56.7,43.3
2000,FL,50.0,50.0
2000,GA,44.0,56.0
2000,HI,59.8,40.2
2000,IA,50.2,49.8
2000,ID,29.2,70.8
2000,IL,56.2,43.8
2000,IN,42.0,58.0
2000,KS,39.1,60.9
2000,KY,42.3,57.7
2000,LA,46.1,53.9
2000,MA,64.8,35.2
2000,MD,58.5,41.5
2000,ME,52.7,47.3
2000,MI,52.6,47.4
2000,MN,51.3,48.7
2000,MO,48.3,51.7
2000,MS,41.4,58.6
2000,MT,36.3,63.7
2000,NC,43.5,56.5
2000,ND,35.3,64.7
2000,NE,34.8,65.2
2000,NH,49.3,50.7
2000,NJ,58.2,41.8
2000,NM,50.0,50.0
2000,NV,48.1,51.9
2000,NY,63.1,36.9
2000,OH,48.2,51.8
2000,OK,38.9,61.1
2000,OR,50.2,49.8
2000,PA,52.1,47.9
2000,RI,65.6,34.4
2000,SC,41.9,58.1
2000,SD,38.4,61.6
2000,TN,48.0,52.0
2000,TX,39.0,61.0
2000,US,50.3,49.7
2000,UT,28.3,71.7
2000,VA,45.9,54.1
2000,VT,55.4,44.6
2000,WA,52.9,47.1
2000,WI,50.1,49.9
2000,WV,46.8,53.2
2000,WY,29.0,71.0
1996,AK,39.6,60.4
1996,AL,46.3,53.7
1996,AR,59.4,40.6
1996,AZ,51.2,48.8
1996,CA,57.2,42.8
1996,CO,49.2,50.8
1996,CT,60.4,39.6
1996,DC,90.1,9.9
1996,DE,58.6,41.4
1996,FL,53.2,46.8
1996,GA,49.4,50.6
1996,HI,64.3,35.7
1996,IA,55.7,44.3
1996,ID,39.2,60.8
1996,IL,59.6,40.4
1996,IN,46.9,53.1
1996,KS,39.9,60.1
1996,KY,50.5,49.5
1996,LA,56.6,43.4
1996,MA,68.6,31.4
1996,MD,58.6,41.4
1996,ME,62.7,37.3
1996,MI,57.3,42.7
1996,MN,59.4,40.6
1996,MO,53.5,46.5
1996,MS,47.3,52.7
1996,MT,48.3,51.7
1996,NC,47.5,52.5
1996,ND,46.1,53.9
1996,NE,39.4,60.6
1996,NH,55.6,44.4
1996,NJ,60.0,40.0
1996,NM,54.0,46.0
1996,NV,50.6,49.4
1996,NY,66.0,34.0
1996,OH,53.6,46.4
1996,OK,45.6,54.4
1996,OR,54.7,45.3
1996,PA,55.2,44.8
1996,RI,69.0,31.0
1996,SC,46.8,53.2
1996,SD,48.1,51.9
1996,TN,51.3,48.7
1996,TX,47.3,52.7
1996,US,54.7,45.3
1996,UT,38.0,62.0
1996,VA,48.9,51.1
1996,VT,63.2,36.8
1996,WA,57.2,42.8
1996,WI,55.9,44.1
1996,WV,58.4,41.6
1996,WY,42.5,57.5
1992,AK,43.4,56.6
1992,AL,46.2,53.8
1992,AR,60.0,40.0
1992,AZ,48.7,51.3
1992,CA,58.5,41.5
1992,CO,52.8,47.2
1992,CT,54.1,45.9
1992,DC,90.3,9.7
1992,DE,55.2,44.8
1992,FL,48.8,51.2
1992,GA,50.3,49.7
1992,HI,56.7,43.3
1992,IA,53.7,46.3
1992,ID,40.3,59.7
1992,IL,58.6,41.4
1992,IN,46.2,53.8
1992,KS,46.5,53.5
1992,KY,51.9,48.1
1992,LA,52.7,47.3
1992,MA,62.1,37.9
1992,MD,58.3,41.7
1992,ME,56.1,43.9
1992,MI,54.6,45.4
1992,MN,57.7,42.3
