Congressional Dist.,ST,CD,ST_ID,CD_ID,FIPS,Total Vote,Margin,Margin (%),Clinton,Trump,Johnson,Stein,McMullin,Fuente,Castle
District 32,CA,32,6,932,6032,"220,868","85,538",38.73,66.31,27.58,2.71,2.12,0.13,0.00,0.00
District 33,CA,33,6,933,6033,"355,219","146,276",41.18,67.56,26.38,3.51,1.88,0.13,0.00,0.00
District 34,CA,34,6,934,6034,"185,291","134,475",72.58,83.25,10.68,1.63,3.31,0.13,0.00,0.00
District 35,CA,35,6,935,6035,"190,262","76,937",40.44,67.15,26.71,2.66,1.89,0.26,0.00,0.00
District 36,CA,36,6,936,6036,"239,156","20,744",8.67,51.76,43.09,2.58,1.36,0.29,0.00,0.00
District 37,CA,37,6,937,6037,"277,165","210,013",75.77,85.37,9.60,1.78,2.29,0.13,0.00,0.00
District 38,CA,38,6,938,6038,"249,188","98,191",39.40,66.71,27.30,2.70,2.03,0.14,0.00,0.00
District 39,CA,39,6,939,6039,"274,693","23,448",8.54,51.05,42.51,3.59,1.59,0.33,0.00,0.00
District 40,CA,40,6,940,6040,"165,329","114,395",69.19,81.94,12.75,1.67,2.30,0.13,0.00,0.00
District 41,CA,41,6,941,6041,"208,519","57,671",27.66,60.52,32.86,3.28,2.02,0.29,0.00,0.00
District 42,CA,42,6,942,6042,"270,324","32,072",11.86,41.10,52.96,3.55,1.25,0.29,0.00,0.00
District 43,CA,43,6,943,6043,"234,934","144,395",61.46,78.08,16.62,2.36,1.97,0.13,0.00,0.00
District 44,CA,44,6,944,6044,"198,541","139,990",70.51,82.73,12.22,1.69,2.12,0.13,0.00,0.00
District 45,CA,45,6,945,6045,"329,076","17,736",5.39,49.37,43.98,4.01,1.38,0.41,0.00,0.00
District 46,CA,46,6,946,6046,"182,475","69,359",38.01,65.63,27.62,3.09,2.03,0.41,0.00,0.00
District 47,CA,47,6,947,6047,"259,874","81,581",31.39,62.24,30.85,3.56,2.19,0.24,0.00,0.00
District 48,CA,48,6,948,6048,"320,355","5,440",1.70,47.46,45.76,4.10,1.40,0.41,0.00,0.00
District 49,CA,49,6,949,6049,"317,552","23,505",7.40,50.10,42.69,4.29,1.59,0.38,0.00,0.00
District 50,CA,50,6,950,6050,"296,209","43,958",14.84,39.12,53.96,4.13,1.43,0.36,0.00,0.00
District 51,CA,51,6,951,6051,"207,725","100,778",48.52,71.06,22.54,2.75,1.96,0.32,0.00,0.00
District 52,CA,52,6,952,6052,"333,166","74,268",22.29,57.43,35.13,4.44,1.65,0.37,0.00,0.00
District 53,CA,53,6,953,6053,"314,056","108,415",34.52,63.76,29.24,3.61,1.95,0.37,0.00,0.00
District 1,CO,1,8,901,8001,"402,453","184,304",45.80,69.02,23.23,4.72,1.61,0.74,0.05,0.22
District 2,CO,2,8,902,8002,"471,470","100,197",21.25,56.20,34.95,5.26,1.71,1.06,0.04,0.38
District 3,CO,3,8,903,8003,"377,177","44,909",11.91,40.05,51.96,4.69,1.39,0.82,0.06,0.53
District 4,CO,4,8,904,8004,"402,206","93,161",23.16,34.26,57.42,5.00,0.96,1.23,0.05,0.53
District 5,CO,5,8,905,8005,"371,830","89,021",23.94,33.22,57.17,5.97,1.28,1.25,0.03,0.47
District 6,CO,6,8,906,8006,"380,531","33,984",8.93,50.22,41.29,5.18,1.14,1.22,0.04,0.38
District 7,CO,7,8,907,8007,"374,580","44,992",12.01,51.43,39.42,5.50,1.52,0.97,0.05,0.46
District 1,CT,1,9,901,9001,"329,238","75,910",23.06,59.32,36.26,2.88,1.40,0.12,0.00,0.01
District 2,CT,2,9,902,9002,"341,409","9,824",2.88,48.56,45.69,3.83,1.73,0.15,0.00,0.01
District 3,CT,3,9,903,9003,"322,281","49,864",15.47,55.80,40.33,2.37,1.37,0.10,0.00,0.01
District 4,CT,4,9,904,9004,"328,790","75,518",22.97,59.46,36.49,2.78,1.09,0.16,0.00,0.01
District 5,CT,5,9,905,9005,"323,202","13,241",4.10,49.86,45.76,2.89,1.34,0.11,0.00,0.01
At Large,DE,1,10,901,10001,"443,814","50,476",11.37,53.09,41.71,3.33,1.38,0.16,0.00,0.02
District 1,FL,1,12,901,12001,"384,279","149,546",38.92,27.86,66.78,3.32,0.61,0.00,0.07,0.27
District 2,FL,2,12,902,12002,"357,815","126,354",35.31,30.36,65.67,2.35,0.53,0.00,0.07,0.21
District 3,FL,3,12,903,12003,"354,779","56,116",15.82,39.85,55.66,2.58,0.77,0.00,0.08,0.20
District 4,FL,4,12,904,12004,"425,743","118,154",27.75,33.75,61.50,2.93,0.64,0.00,0.06,0.16
District 5,FL,5,12,905,12005,"314,486","79,304",25.22,60.80,35.58,1.91,0.68,0.00,0.08,0.18
District 6,FL,6,12,906,12006,"383,204","64,487",16.83,39.52,56.35,2.27,0.73,0.00,0.08,0.16
District 7,FL,7,12,907,12007,"367,614","26,480",7.20,50.78,43.57,3.14,0.98,0.00,0.11,0.21
District 8,FL,8,12,908,12008,"406,119","83,236",20.50,37.28,57.78,2.80,0.78,0.00,0.10,0.22
District 9,FL,9,12,909,12009,"359,789","46,016",12.79,54.30,41.51,2.20,0.68,0.00,0.15,0.26
District 10,FL,10,12,910,12010,"318,495","84,872",26.65,61.20,34.56,2.26,0.76,0.00,0.11,0.20
District 11,FL,11,12,911,12011,"414,323","132,809",32.05,32.21,64.26,1.92,0.54,0.00,0.08,0.18
District 12,FL,12,12,912,12012,"383,919","70,729",18.42,38.49,56.91,2.58,0.78,0.00,0.10,0.21
District 13,FL,13,12,913,12013,"364,512","11,544",3.17,49.08,45.91,2.75,0.98,0.00,0.08,0.17
District 14,FL,14,12,914,12014,"333,946","60,074",17.99,56.56,38.57,2.61,0.87,0.00,0.14,0.20
District 15,FL,15,12,915,12015,"337,958","33,408",9.89,42.68,52.56,2.64,0.73,0.00,0.13,0.25
District 16,FL,16,12,916,12016,"400,773","42,829",10.69,42.53,53.21,2.32,0.70,0.00,0.08,0.17
District 17,FL,17,12,917,12017,"356,935","96,237",26.96,34.72,61.68,1.94,0.54,0.00,0.09,0.17
District 18,FL,18,12,918,12018,"385,572","35,213",9.13,43.72,52.85,1.86,0.57,0.00,0.07,0.13
District 19,FL,19,12,919,12019,"384,982","84,095",21.84,37.14,58.99,2.08,0.57,0.00,0.07,0.14
District 20,FL,20,12,920,12020,"290,258","179,345",61.79,79.79,18.00,0.94,0.57,0.00,0.08,0.12
District 21,FL,21,12,921,12021,"353,576","68,749",19.44,58.33,38.89,1.52,0.57,0.00,0.07,0.09
District 22,FL,22,12,922,12022,"358,934","56,128",15.64,56.38,40.74,1.49,0.56,0.00,0.06,0.09
District 23,FL,23,12,923,12023,"340,158","88,111",25.90,61.46,35.56,1.46,0.63,0.00,0.08,0.11
District 24,FL,24,12,924,12024,"266,686","178,967",67.11,82.41,15.31,0.85,0.66,0.00,0.10,0.10
District 25,FL,25,12,925,12025,"266,103","4,652",1.75,47.60,49.35,1.56,0.50,0.00,0.19,0.14
District 26,FL,26,12,926,12026,"291,524","47,047",16.14,56.34,40.20,1.67,0.67,0.00,0.17,0.15
District 27,FL,27,12,927,12027,"300,265","58,317",19.42,57.99,38.57,1.64,0.64,0.00,0.14,0.12
District 1,GA,1,13,901,13001,"271,912","41,806",15.37,40.52,55.90,2.71,0.17,0.18,0.00,0.02
District 2,GA,2,13,902,13002,"249,075","29,095",11.68,54.79,43.10,1.72,0.10,0.15,0.00,0.02
District 3,GA,3,13,903,13003,"315,304","98,469",31.23,32.40,63.63,2.88,0.15,0.36,0.00,0.03
District 4,GA,4,13,904,13004,"302,754","158,474",52.34,74.29,21.94,2.42,0.30,0.35,0.00,0.02
District 5,GA,5,13,905,13005,"311,166","223,423",71.80,83.49,11.69,3.07,0.18,0.15,0.00,0.01
District 6,GA,6,13,906,13006,"338,532","4,942",1.46,45.81,47.27,4.77,0.22,0.30,0.00,0.01
District 7,GA,7,13,907,13007,"299,946","18,833",6.28,44.01,50.29,4.04,0.17,0.59,0.00,0.03
District 8,GA,8,13,908,13008,"266,426","76,833",28.84,34.29,63.13,2.24,0.13,0.18,0.00,0.03
District 9,GA,9,13,909,13009,"300,120","173,726",57.89,19.15,77.03,2.85,0.14,0.32,0.00,0.04
District 10,GA,10,13,910,13010,"317,967","80,338",25.27,35.44,60.71,2.94,0.21,0.36,0.00,0.03
District 11,GA,11,13,911,13011,"335,859","82,302",24.50,34.71,59.21,4.27,0.27,0.57,0.00,0.05
District 12,GA,12,13,912,13012,"269,715","43,267",16.04,40.39,56.43,2.42,0.12,0.25,0.00,0.03
District 13,GA,13,13,913,13013,"304,466","133,719",43.92,70.22,26.30,2.34,0.23,0.29,0.00,0.02
District 14,GA,14,13,914,13014,"258,205","135,336",52.41,21.89,74.30,2.91,0.17,0.25,0.00,0.03
District 1,HI,1,15,901,15001,"209,300","68,093",32.53,63.07,30.54,3.44,2.12,0.00,0.00,0.84
District 2,HI,2,15,902,15002,"219,637","69,951",31.85,61.41,29.56,3.99,3.78,0.00,0.00,1.26
District 1,ID,1,16,901,16001,"359,783","137,750",38.29,25.37,63.66,4.15,1.16,4.47,0.19,0.63
District 2,ID,2,16,902,16002,"330,650","81,540",24.66,29.78,54.44,4.06,1.31,9.19,0.21,0.64
District 1,IL,1,17,901,17001,"329,715","176,032",53.39,74.59,21.20,1.93,1.20,0.08,0.00,0.01
District 2,IL,2,17,902,17002,"306,310","178,714",58.34,77.29,18.94,1.82,1.08,0.07,0.00,0.01
District 3,IL,3,17,903,17003,"288,088","43,399",15.06,54.59,39.53,3.19,1.60,0.08,0.00,0.01
District 4,IL,4,17,904,17004,"212,083","144,559",68.16,81.27,13.11,2.31,2.29,0.05,0.00,0.00
District 5,IL,5,17,905,17005,"329,770","151,870",46.05,69.73,23.68,3.83,1.63,0.07,0.00,0.00
District 6,IL,6,17,906,17006,"360,943","24,614",6.82,49.19,42.37,5.08,1.37,0.48,0.00,0.03
District 7,IL,7,17,907,17007,"313,382","242,633",77.42,86.53,9.10,2.16,1.18,0.06,0.00,0.01
District 8,IL,8,17,908,17008,"258,082","55,385",21.46,57.45,35.99,3.82,1.57,0.18,0.00,0.02
District 9,IL,9,17,909,17009,"344,444","153,457",44.55,69.09,24.54,3.34,1.62,0.17,0.00,0.01
District 10,IL,10,17,910,17010,"293,230","84,769",28.91,61.00,32.09,3.98,1.24,0.28,0.00,0.01
District 11,IL,11,17,911,17011,"283,782","65,577",23.11,58.02,34.92,4.13,1.47,0.23,0.00,0.02
District 12,IL,12,17,912,17012,"319,109","46,874",14.69,39.74,54.43,3.48,1.32,0.17,0.00,0.03
District 13,IL,13,17,913,17013,"324,629","17,473",5.38,43.60,48.98,4.52,1.46,0.33,0.00,0.03
